WBGene00022158	Y71G12B.23b	Y71G12B.23
WBGene00010679	K08F4.5	K08F4.5
WBGene00003677	Y41D4B.7	nhr-87,Y41D4B.7
WBGene00009735	F45G2.9	F45G2.9
WBGene00003936	T17H7.4a	pat-12,T17H7.4
WBGene00021556	Y45G5AM.3a	Y45G5AM.3
WBGene00050939	C05G5.7	C05G5.7
WBGene00044259	Y73F8A.36	Y73F8A.36
WBGene00000658	F33A8.9	col-83,F33A8.9
WBGene00003936	T17H7.4b	pat-12,T17H7.4
WBGene00003936	T17H7.4c	pat-12,T17H7.4
WBGene00007105	B0035.1a	znf-207,B0035.1
WBGene00003936	T17H7.4d	pat-12,T17H7.4
WBGene00007105	B0035.1b	znf-207,B0035.1
WBGene00003936	T17H7.4e	pat-12,T17H7.4
WBGene00009941	F52F12.8	F52F12.8
WBGene00003936	T17H7.4f	pat-12,T17H7.4
WBGene00044797	F13E9.13	F13E9.13
WBGene00003936	T17H7.4g	pat-12,T17H7.4
WBGene00007946	C35A5.2	ugt-33,C35A5.2
WBGene00017478	F15A8.6a	F15A8.6
WBGene00003936	T17H7.4h	pat-12,T17H7.4
WBGene00017478	F15A8.6b	F15A8.6
WBGene00003936	T17H7.4i	pat-12,T17H7.4
WBGene00003936	T17H7.4j	pat-12,T17H7.4
WBGene00019668	K12B6.3	fil-2,K12B6.3
WBGene00003936	T17H7.4k	pat-12,T17H7.4
WBGene00003936	T17H7.4l	pat-12,T17H7.4
WBGene00007650	C17G1.3a	ugt-23,C17G1.3
WBGene00003936	T17H7.4m	pat-12,T17H7.4
WBGene00007650	C17G1.3b	ugt-23,C17G1.3
WBGene00006367	ZK1067.6a	sym-2,ZK1067.6
WBGene00015161	B0361.7	pho-5,B0361.7
WBGene00011441	T04F8.2	T04F8.2
WBGene00006367	ZK1067.6b	sym-2,ZK1067.6
WBGene00014124	ZK863.4	usip-1,ZK863.4
WBGene00018226	F40B5.2a	F40B5.2
WBGene00018226	F40B5.2b	F40B5.2
WBGene00000554	F55C10.1a	cnb-1,F55C10.1
WBGene00009113	F25D7.4	maph-1.2,F25D7.4
WBGene00000554	F55C10.1b	cnb-1,F55C10.1
WBGene00010594	K06A4.4	swt-5,K06A4.4
WBGene00016380	C33H5.14a	ntp-1,C33H5.14
WBGene00020256	T05C3.6a	T05C3.6
WBGene00003160	C50F4.11	mdf-1,C50F4.11
WBGene00017000	D1005.6	D1005.6
WBGene00016380	C33H5.14b	ntp-1,C33H5.14
WBGene00011004	R04B5.6	R04B5.6
WBGene00020256	T05C3.6b	T05C3.6
WBGene00011261	R13H4.1	nphp-4,R13H4.1
WBGene00000743	T10E10.6	col-170,T10E10.6
WBGene00022641	ZK6.6	ZK6.6
WBGene00018757	F53E2.1a	tag-304,F53E2.1
WBGene00010419	H28O16.1a	atp-1,H28O16.1
WBGene00018757	F53E2.1b	tag-304,F53E2.1
WBGene00189987	C18H7.12	C18H7.12
WBGene00010419	H28O16.1d	atp-1,H28O16.1
WBGene00018872	F55C12.5a	F55C12.5
WBGene00009503	F37A8.5	F37A8.5
WBGene00008576	F08G2.4	F08G2.4
WBGene00018872	F55C12.5b	F55C12.5
WBGene00015400	C03G6.15	cyp-35A2,C03G6.15
WBGene00000645	K01A2.7	col-69,K01A2.7
WBGene00018872	F55C12.5c	F55C12.5
WBGene00043466	R05G6.3	R05G6.3
WBGene00012848	Y44A6B.3	Y44A6B.3
WBGene00017275	F08F8.10a	F08F8.10
WBGene00004446	T24B8.1a	rpl-32,T24B8.1
WBGene00017275	F08F8.10b	F08F8.10
WBGene00004446	T24B8.1b	rpl-32,T24B8.1
WBGene00004921	F31E8.2a	snt-1,F31E8.2
WBGene00004921	F31E8.2b	snt-1,F31E8.2
WBGene00012907	Y46G5A.17	cpt-1,Y46G5A.17
WBGene00007903	C33G3.3	lgc-21,C33G3.3
WBGene00005831	Y43F8A.4	srw-84,Y43F8A.4
WBGene00019401	K04G7.4a	nuo-4,K04G7.4
WBGene00019401	K04G7.4b	nuo-4,K04G7.4
WBGene00009619	F41E7.3	npr-6,F41E7.3
WBGene00020577	T19D12.2a	T19D12.2
WBGene00008619	F09C6.8	nhr-262,F09C6.8
WBGene00020577	T19D12.2b	T19D12.2
WBGene00020577	T19D12.2c	T19D12.2
WBGene00021913	Y55B1BR.3	cec-8,Y55B1BR.3
WBGene00012361	W09D10.3	mrpl-12,W09D10.3
WBGene00003405	ZC302.1	mre-11,ZC302.1
WBGene00010073	F54F12.2a	F54F12.2
WBGene00011967	T23G7.5a	pir-1,T23G7.5
WBGene00009815	F47B10.4	F47B10.4
WBGene00010073	F54F12.2b	F54F12.2
WBGene00010073	F54F12.2c	F54F12.2
WBGene00013165	Y53F4B.19	Y53F4B.19
WBGene00011974	T24A11.2	xbx-5,T24A11.2
WBGene00001976	T05A7.4	hmg-11,T05A7.4
WBGene00020032	R12E2.6	R12E2.6
WBGene00010701	K09A9.3	ent-2,K09A9.3
WBGene00016044	C24B5.1	C24B5.1
WBGene00022225	Y73B3B.3	Y73B3B.3
WBGene00012724	Y39G8B.3	sre-48,Y39G8B.3
WBGene00219314	C05B5.17	C05B5.17
WBGene00206514	R05G9.5	R05G9.5
WBGene00019674	K12C11.3a	K12C11.3
WBGene00001768	Y48E1B.10	gst-20,Y48E1B.10
WBGene00010572	K04G11.4	wdr-5.2,K04G11.4
WBGene00019674	K12C11.3b	K12C11.3
WBGene00019674	K12C11.3c	K12C11.3
WBGene00044326	C33H5.10	tag-322,C33H5.10
WBGene00011921	T22C1.12	T22C1.12
WBGene00008601	F09A5.4a	mob-2,F09A5.4
WBGene00007967	C36A4.6	cyp-25A4,C36A4.6
WBGene00219498	Y106G6E.8	Y106G6E.8
WBGene00000051	R01E6.4a	acr-12,R01E6.4
WBGene00008601	F09A5.4b	mob-2,F09A5.4
WBGene00018570	F47F2.2	F47F2.2
WBGene00001616	ZC196.7	glr-5,ZC196.7
WBGene00000051	R01E6.4b	acr-12,R01E6.4
WBGene00008601	F09A5.4c	mob-2,F09A5.4
WBGene00000932	T05G5.12	dao-6,T05G5.12
WBGene00008601	F09A5.4d	mob-2,F09A5.4
WBGene00005560	ZC239.9	sri-48,ZC239.9
WBGene00008601	F09A5.4e	mob-2,F09A5.4
WBGene00016947	C55B7.11	C55B7.11
WBGene00022532	ZC155.4	ZC155.4
WBGene00008601	F09A5.4g	mob-2,F09A5.4
WBGene00012325	W07A12.8	W07A12.8
WBGene00008197	C49C3.7	C49C3.7
WBGene00016847	C50F7.9	C50F7.9
WBGene00021619	Y47D7A.6	Y47D7A.6
WBGene00000103	F28H6.1a	akt-2,F28H6.1
WBGene00018018	F33G12.6a	F33G12.6
WBGene00000103	F28H6.1b	akt-2,F28H6.1
WBGene00018018	F33G12.6b	F33G12.6
WBGene00003927	CD4.6	pas-6,CD4.6
WBGene00018538	F47B7.7a	marg-1,F47B7.7
WBGene00005025	C52E12.3	sqv-7,C52E12.3
WBGene00000733	F57B1.4	col-160,F57B1.4
WBGene00009561	F39D8.3a	F39D8.3
WBGene00018538	F47B7.7b	marg-1,F47B7.7
WBGene00009561	F39D8.3b	F39D8.3
WBGene00018950	F56C9.6a	F56C9.6
WBGene00009561	F39D8.3c	F39D8.3
WBGene00011120	R07E5.15	R07E5.15
WBGene00018950	F56C9.6b	F56C9.6
WBGene00009561	F39D8.3d	F39D8.3
WBGene00018950	F56C9.6c	F56C9.6
WBGene00014070	ZK678.4	srxa-9,ZK678.4
